Model, First flight, Seats, Fuel burn Km, Fuel burn Miles, Fuel per seat, Fuel per seat MPG
Boeing 777-200, 1994, 305, 6.83, 24.2lb/mi, 2.80, 84
Boeing 777-200ER, 1996, 301, 6.96, 24.7lb/mi, 2.89, 81
Boeing 777-300, 1997, 368, 7.88, 28.0lb/mi, 2.68, 88
Boeing 787-8, 2009, 291, 5.26, 18.7lb/mi, 2.26, 104
Boeing 787-8, 2009, 238, 5.11, 18.1lb/mi, 2.68, 88
Boeing 787-9, 2013, 304, 5.77, 20.5lb/mi, 2.37, 99
Irkut MC-21-300, 2017, 163, 3.04, 10.8lb/mi, 2.33, 101
Airbus A330-200, 1997, 241, 6.4, 23lb/mi, 3.32, 71
Airbus A330-200, 1997, 248, 6.55, 23.2lb/mi, 3.3, 71
Airbus A330-300, 1992, 274, 6.81, 24.2lb/mi, 3.11, 76
Airbus A330-800, 2017, 248, 5.45, 19.3lb/mi, 2.75, 86
Airbus A330-900, 2017, 300, 5.94, 21.1lb/mi, 2.48, 95
Airbus A340-300, 1992, 262, 7.32, 26.0lb/mi, 3.49, 67.4
Airbus A350-900, 2013, 315, 6.03, 21.4lb/mi, 2.39, 98
Airbus A350-900, 2013, 318, 6.52, 23.1lb/mi, 2.56, 92
Airbus A350-900, 2013, 315, 7.07, 25.1lb/mi, 2.81, 84
Airbus A350-1000, 2016, 327, 7.46, 26.5lb/mi, 2.85, 83
Airbus A350-1000, 2016, 367, 7.58, 26.9lb/mi, 2.58, 91
Airbus A380, 2005, 525, 13.78, 48.9lb/mi, 3.27, 72
Airbus A380, 2005, 544, 13.78, 48.9lb/mi, 3.16, 74
Boeing 747-400, 1988, 416, 11.11, 39.4lb/mi, 3.34, 70
Boeing 747-400, 1988, 393, 11.82, 41.9lb/mi, 3.76, 62.6
Boeing 747-400, 1988, 487, 12.31, 43.7lb/mi, 3.16, 74
Boeing 747-8, 2011, 467, 10.54, 37.4lb/mi, 2.82, 83
Boeing 747-8, 2011, 405, 10.9, 39lb/mi, 3.35, 70
Boeing 777-200ER, 1996, 304, 7.57, 26.9lb/mi, 3.11, 76
Boeing 777-200ER, 1996, 301, 7.42, 26.3lb/mi, 3.08, 76
Boeing 777-200ER, 1996, 301, 7.44, 26.4lb/mi, 3.09, 76
Boeing 777-200LR, 2005, 291, 7.57, 26.9lb/mi, 3.25, 72
Boeing 777-300ER, 2003, 382, 8.86, 31.4lb/mi, 2.9, 81
Boeing 777-300ER, 2003, 365, 8.49, 30.1lb/mi, 2.91, 81
