Boeing 767-200ER, 1984, 224, 4.93,  17.5, 2.75, 86
Boeing 767-300ER, 1988, 218, 5.38,  19.1, 3.09, 76
Boeing 767-300ER, 1988, 218, 5.39,  19.1, 3.09, 76
Boeing 767-300ER, 1988, 269, 5.51,  19.5, 2.56, 92
Boeing 767-400ER, 1999, 245, 5.78,  20.5, 2.95, 80
Boeing 767-400ER, 1999, 304, 5.93,  21.0, 2.44, 96
Boeing 767-400ER, 1999, 304, 5.92,  21, 2.43, 96.9
Boeing 777-200, 1994, 305, 6.83,  24.2, 2.8, 84
Boeing 777-200ER, 1996, 301, 6.96,  24.7, 2.89, 81
Boeing 777-300, 1997, 368, 7.88,  28.0, 2.68, 88
Boeing 787-8, 2009, 291, 5.26,  18.7, 2.26, 104
Boeing 787-8, 2009, 238, 5.11,  18.1, 2.68, 88
Boeing 787-9, 2013, 304, 5.77,  20.5, 2.37, 99
Irkut MC-21-300, 2017, 163, 3.04,  10.8, 2.33, 101
Airbus A330-200, 1997, 241, 6.4,  23, 3.32, 71
Airbus A330-200, 1997, 248, 6.55,  23.2, 3.3, 71
Airbus A330-300, 1992, 274, 6.81,  24.2, 3.11, 76
Airbus A330-800, 2017, 248, 5.45,  19.3, 2.75, 86
Airbus A330-900, 2017, 300, 5.94,  21.1, 2.48, 95
Airbus A340-300, 1992, 262, 7.32,  26.0, 3.49, 67.4
Airbus A350-900, 2013, 315, 6.03,  21.4, 2.39, 98
Airbus A350-900, 2013, 318, 6.52,  23.1, 2.56, 92
Airbus A350-900, 2013, 315, 7.07,  25.1, 2.81, 84
Airbus A350-1000, 2016, 327, 7.46,  26.5, 2.85, 83
Airbus A350-1000, 2016, 367, 7.58,  26.9, 2.58, 91
Airbus A380, 2005, 525, 13.78,  48.9, 3.27, 72
Airbus A380, 2005, 544, 13.78,  48.9, 3.16, 74
Boeing 747-400, 1988, 416, 11.11,  39.4, 3.34, 70
Boeing 747-400, 1988, 393, 11.82,  41.9, 3.76, 62.6
Boeing 747-400, 1988, 487, 12.31,  43.7, 3.16, 74
Boeing 747-8, 2011, 467, 10.54,  37.4, 2.82, 83
Boeing 747-8, 2011, 405, 10.9,  39, 3.35, 70
Boeing 777-200ER, 1996, 304, 7.57,  26.9, 3.11, 76
Boeing 777-200ER, 1996, 301, 7.42,  26.3, 3.08, 76
Boeing 777-200ER, 1996, 301, 7.44,  26.4, 3.09, 76
Boeing 777-200LR, 2005, 291, 7.57,  26.9, 3.25, 72
Boeing 777-300ER, 2003, 382, 8.86,  31.4, 2.9, 81
Boeing 777-300ER, 2003, 365, 8.49,  30.1, 2.91, 81
Boeing 777-300ER, 2003, 344, 8.58,  30.4, 3.11, 76
Boeing 777-9X, 2020, 395, 7.69,  27.3, 2.42, 97
Boeing 787-8, 2011, 243, 5.38,  19.1, 2.77, 85
Boeing 787-8 GEnx, 2011, 220, 5.3,  19, 3.01, 78
Boeing 787-8 Trent, 2011, 220, 5.51,  19.5, 3.13, 75
Boeing 787-9 GEnx, 2013, 294, 5.85,  20.8, 2.49, 94
Boeing 787-9, 2013, 304, 5.63,  20.0, 2.31, 102
Boeing 787-9 GEnx, 2013, 266, 5.62,  19.9, 2.64, 89
Boeing 787-9, 2013, 291, 7.18,  25.5, 3.08, 76
Boeing 787-10 GEnx, 2017, 337, 6.12,  21.7, 2.27, 104
Boeing 787-10 Trent, 2017, 337, 6.24,  22.1, 2.31, 102
Unknown, Unknown, 191, 4.41, 15.62, 3.14, 80.17
